Question_No,Category,Question,Hint,Description,Solution
11,Content Creation & Strategy,Local Thane-Bhiwandi influencers ke saath kaise collab karoge?,"Micro-influencers (5k-50k), food focused, barter + paid mix.",Local influencers targeted reach dete hain aur authentic feel aata hai.,"List banao local food bloggers, moms, event planners. Approach: Free cake tasting + honest review. Micro se start (high engagement). Contract: 1 reel + 3 stories + 1 post. Track with unique code/link. Long-term: Brand ambassadors banao jo regular feature karein."
12,Content Creation & Strategy,Hashtag strategy kya hogi?,"Mix of branded, local, niche, trending.",Hashtags discovery ke liye important hain lekin spam nahi karna.,Branded: #SweetCounty #SweetCountyThane. Local: #ThaneFoodie #BhiwandiEats #ThaneCakes. Niche: #CustomCakesMumbai #PureVegBakery #BirthdayCakeIdeas. Trending: Jo bhi chal raha ho relevant. 8-12 hashtags per post. Stories mein bhi. Research: Competitors + Later/Hashtagify tools.
13,Content Creation & Strategy,Caption writing style kya hoga?,"Hinglish, friendly, emotional, CTA strong.",Local audience Hinglish prefer karti hai. Tone brand personality dikhata hai.,"Tone: Warm, family-friendly, thoda playful. Example: 'Aaj ka special – Mango Tres Leches 🥭 Jo ek baar try kare, dobara maange! Order abhi WhatsApp pe. Link bio mein.' Emojis controlled. Questions poocho engagement ke liye. Always CTA: DM, WhatsApp, Visit store."
14,Content Creation & Strategy,Visual branding consistent kaise rakhenge?,"Color palette, fonts, filters, logo placement.",Consistent look brand recall badhata hai.,"Colors: Warm pastels + gold accents (cake feel). Fonts: Clean sans + script for headings. Filters: Bright, appetizing (slightly warm). Logo: Bottom right watermark. Templates Canva/Procreate mein bana ke team ko do. Every post same vibe."
15,Content Creation & Strategy,Weekly content mix ratio kya rakhenge?,"40% product, 30% engagement, 20% educational, 10% promotional.",Sirf sales posts se log bore ho jate hain. Value + entertainment chahiye.,"Product showcase: New cakes, bestsellers. Engagement: Polls, questions, UGC. Educational: Tips, process. Promo: Offers, events. Adjust based on Insights. Festival weeks mein promo badha sakte ho."
16,Content Creation & Strategy,Agar reels views aa rahe hain lekin profile visits kam hain to kya karoge?,"Stronger CTAs, link in bio optimization, story highlights.",Views vanity ho sakte hain. Goal profile visit → follow → order hai.,"Reels end mein clear CTA: 'Profile pe jaake menu dekho'. Bio link: Linktree with menu, WhatsApp, locations. Highlights attractive banao. First comment mein link. Ads se traffic. Content mein 'Save this for later' bolna."
17,Content Creation & Strategy,Seasonal content ke alawa kya evergreen ideas hain cake shop ke liye?,"How-tos, FAQs, process videos, customer stories.",Evergreen content long-term traffic deta hai.,"How to choose perfect cake size, Cake cutting tips, Storage guide, Flavour pairing, Birthday cake ideas by age, Anniversary specials, Kids birthday themes, Corporate gifting. Ye sab baar-baar use ho sakte hain."
18,Content Creation & Strategy,Video content ke liye equipment budget low hai. Kya setup suggest karoge?,Smartphone + natural light + cheap accessories.,Professional look ke liye expensive gear zaroori nahi.,iPhone/Android latest + tripod + ring light (₹1-2k). Natural window light best. Editing: CapCut/InShot free. Mic: Cheap lapel if needed. Background: Clean kitchen/table. Consistency > expensive gear.
19,Content Creation & Strategy,Content ideas generate karne ka process kya hoga?,"Customer questions, trends, competitor gaps, team input.",Creative block common hai. Systematic process chahiye.,"Weekly: Customer FAQs se ideas, Instagram trends research, competitor audit, staff se 'aaj kya special bana', festival calendar, local events. Notion board mein ideas dump. Prioritize by effort vs impact."
20,Content Creation & Strategy,Agar koi post flop ho jaye to usse kya seekhenge?,"Analyze Insights, test variations, document learnings.",Failure se seekhna growth ka part hai.,"Insights dekh: Reach, engagement rate, audience retention. Timing? Caption? Visual? Hashtags? Same idea ko different format mein try karo. Learning document karo taaki repeat na ho. Team ke saath share."
21,Engagement & Community Management,Koi customer negative comment kare 'Cake stale tha' to public mein kaise respond karoge?,"Empathy pehle, private resolution, public transparency.",Negative comments handle karna crisis management ka basic hai. Public response brand image banata hai.,"Public reply: 'Humein bahut afsos hai aapke experience ke liye. Please DM karein details ke saath, hum turant resolve karenge.' Phir private: Full details, apology, replacement/refund offer. Agar genuine issue hai to process improve karo. Kabhi defensive mat bano."
22,Engagement & Community Management,Comments section mein spam ya abusive comments aaye to kya policy hogi?,"Hide/delete + block if needed, community guidelines pin.",Toxic environment followers ko door bhagata hai.,Community guidelines highlight mein. Spam: Delete + restrict. Abusive: Delete + block. Legitimate criticism: Respond professionally. Team ko train karo moderation pe. Weekly audit.
23,Engagement & Community Management,Engagement badhane ke liye daily kya tactics use karoge?,"Reply fast, ask questions, polls, shoutouts.",Algorithm engagement ko reward karta hai. Fast reply important.,Har comment ka reply 1-2 hour mein. Stories mein daily poll/quiz. Followers ko shoutout. User photos repost. Questions poocho captions mein. Live sessions monthly. Consistency key hai.
24,Engagement & Community Management,Customer ne story mein tag kiya lekin aapne notice nahi kiya. Wo complain kare to kya?,Apology + immediate feature + process improve.,Missed UGC common issue hai. Recovery important.,Turant apology DM + story mein feature with credit. Explain ki volume zyada tha. Process: Daily UGC check routine banao (morning + evening). Tools: Mentions notifications on.
25,Engagement & Community Management,"Local community events (Thane fest, Bhiwandi mela) mein kaise participate karoge socially?","Story coverage, live, collab posts, hashtag.",Local presence se trust aur footfall badhta hai.,"Event pe booth/stall agar possible. Social: Pre-event teaser, live coverage, customer interviews, post-event collage. Local hashtags. Organizers ke saath collab post. Offer: Event visitors ko special discount code."
26,Engagement & Community Management,WhatsApp Business ko social media se kaise integrate karoge?,"Click to chat links, catalog, quick replies, status.",Local businesses ke liye WhatsApp conversion king hai.,"Bio mein WhatsApp link. Every CTA pe 'WhatsApp pe order'. Catalog update regular. Quick replies for common questions (price, flavour, delivery). Status pe daily specials. Broadcast lists for offers (opt-in)."
27,Engagement & Community Management,Followers grow karne ke natural tareeke kya hain paid ads ke alawa?,"Collaborations, hashtags, cross-promotion, value content.",Organic growth sustainable hota hai.,"Local page collabs (shoutout for shoutout), relevant hashtags, consistent posting, engagement pods carefully, SEO in bio/name, cross promote on Google My Business, customer referral program."
28,Engagement & Community Management,Agar koi competitor aapke content ko copy kare to kya karoge?,"Focus on originality, watermark, legal if extreme.",Copying common hai food industry mein.,"Pehle ignore + better original content banao. Watermark lagao. Agar exact copy hai to polite DM. Extreme case mein report. Apna unique style develop karo jo copy mushkil ho (personality, specific series)."
29,Engagement & Community Management,Community building ke liye monthly kya activities rakhenge?,"Contests, lives, AMAs, customer spotlights.",Active community loyalty badhata hai.,"Monthly: Photo contest, Flavour voting live, Customer of the month, Behind-the-scenes live, Q&A session. Rewards: Free cakes, discounts. Track participation."
30,Engagement & Community Management,Slow engagement days pe kya recovery plan hoga?,"Interactive content, repost best performers, go live.",Algorithm dips common hain.,Best performing old post ko remix karke daalo. Polls/quizzes heavy. Go live kitchen. Ask followers se content ideas. Paid boost temporarily. Analyze kya change hua.
31,Engagement & Community Management,DM mein order inquiries kaise handle karoge efficiently?,"Quick replies, templates, catalog, handover to sales.",DMs conversion point hain. Speed matter karti hai.,Saved replies for common queries. Product catalog share. Price list ready. Complex orders ko WhatsApp/call pe shift. Response time target: under 30 mins business hours. Track conversion rate from DM.
32,Engagement & Community Management,Negative review Google/Zomato pe aaye to social pe kaise handle?,"Acknowledge, resolve offline, public update if resolved.",Reviews social proof hain. Response se trust banta hai.,Social pe directly tabhi respond jab tagged ho. Warna private resolve. Agar resolved to customer se request karo updated review. Process improvement publicly share kar sakte ho without naming.
33,Engagement & Community Management,Fans se real relationship kaise banaoge?,"Remember regulars, personal replies, exclusive offers.",Transactional se relationship marketing better hai.,Regular commenters ko yaad rakho. Personal touch replies. Loyalty program social pe promote. Birthday wishes agar data ho. Exclusive early access offers for followers.
34,Engagement & Community Management,Crisis: Koi allegiation aaye ki cake mein kuch galat tha. Response protocol?,"Pause content, verify facts, official statement, transparency.",Food safety crisis serious hai. Calm + fast response chahiye.,1. Scheduled posts pause. 2. Internal verification. 3. Official statement draft (empathy + facts + action). 4. Legal/owner approve. 5. Public post + stories. 6. Monitor comments. 7. Follow up with resolution. Kabhi ignore mat karo.
35,Engagement & Community Management,Engagement rate kaise calculate aur improve karoge?,(Likes+Comments+Shares+Saves)/Reach * 100. Target 3-6%.,Vanity metrics se better engagement rate.,"Meta Insights se track. Benchmark industry. Improve: Better hooks, questions, CTAs, timing, format mix. A/B test. Low engagement posts se seekho."
36,"Ads, Paid Promotion & Local SEO","Monthly ad budget ₹15,000 hai. Kaise allocate karoge platforms aur campaigns mein?","70% Meta (IG+FB), 20% Google, 10% test new.",Budget allocation ROI pe depend karti hai.,"Meta: 40% conversion (orders), 30% traffic/engagement, 30% awareness. Google: Search ads for 'cake shop near me Thane'. Test: 10% Reels ads ya new audiences. Weekly review + reallocate winners ko."
37,"Ads, Paid Promotion & Local SEO",Meta ads mein kaunsa objective choose karoge cake orders ke liye?,"Conversions with WhatsApp/website pixel, ya Messages.",Objective galat ho to money waste.,Best: Messages (WhatsApp) ya Conversions if pixel set. Catalog sales if shop set up. Awareness sirf brand building ke liye. Always pixel + CAPI setup for better optimization.
38,"Ads, Paid Promotion & Local SEO",Lookalike audience kaise banayenge Sweet County ke liye?,"Website visitors, WhatsApp engagers, past customers.",Lookalikes high converting hote hain.,"Sources: Pixel events (view content, purchase), customer phone list (hashed), engagers (video viewers, page engagers). 1% lookalike India/Maharashtra. Layer with interests: desserts, birthdays, Thane location."
39,"Ads, Paid Promotion & Local SEO",Ad creative ke liye kya best practices hain cake ads mein?,"Mouth-watering visuals, clear offer, strong CTA, local feel.",Creative ad performance ka 70% decide karta hai.,"High quality video/reel preferred. First 3 sec hook (cake cut). Text overlay price/offer. CTA button clear. Multiple variants test (static vs video, different hooks). User testimonials ads mein use karo."
40,"Ads, Paid Promotion & Local SEO",Retargeting strategy kya hogi?,"Website visitors, video viewers, engagers, cart abandoners.",Retargeting cheapest conversions deta hai.,Sequence: 1) Viewed menu but no action → soft reminder. 2) Engaged with ads → stronger offer. 3) Past customers → new product/upsell. Frequency cap. Exclude recent converters. Dynamic ads if catalog.
41,"Ads, Paid Promotion & Local SEO",A/B testing ads mein kya-kya test karoge?,"Creative, headline, audience, placement, offer.",Testing continuous improvement laata hai.,"One variable at a time. Creative (image vs video), copy (emotional vs offer), CTA, audience (interest vs lookalike), placement (feed vs stories/reels). Minimum budget per test. Winner scale."
42,"Ads, Paid Promotion & Local SEO",Ad fatigue ho jaye to kya karoge?,"Refresh creative, expand audience, pause + new.",Same ad bar-baar dikhne se performance girta hai.,"Frequency 3+ pe watch. New creatives weekly. Audience expand. Offer change. Pause underperformers. Fresh angles: different cake, different emotion, UGC style."
43,"Ads, Paid Promotion & Local SEO",Google My Business aur local SEO ko social se kaise link karoge?,"Posts, reviews, photos, consistent NAP.",Local search se footfall aata hai.,GMB regular posts (offers). Social pe GMB link. Customers se review request. Photos sync. Consistent name/address/phone. Social proof (ratings) social pe bhi dikhao.
44,"Ads, Paid Promotion & Local SEO",Influencer paid collab ka ROI kaise measure karoge?,"Unique codes, UTM, tracked links, sales attribution.",Influencer spend waste na ho isliye tracking zaroori.,Unique discount code per influencer. UTM links. WhatsApp referral tracking. Before-after sales. Engagement + reach metrics. Long-term: Brand lift surveys simple.
45,"Ads, Paid Promotion & Local SEO",Festival pe ad budget kaise badhaoge aur target?,"2-3x normal, hyper-local, offer focused.",Festivals peak season hain.,Budget spike 2 weeks before. Audiences: Local + interest + lookalike. Creatives festival themed. Offers: Pre-order discounts. Day-parting: Evenings + weekends. Real-time optimization.
46,"Ads, Paid Promotion & Local SEO",Cost per message/lead kitna acceptable hoga?,Depends on AOV. Target CPL < 10-15% of average order.,Unit economics samajhna zaroori.,Average cake order ₹600-800 maan lo. Target CPL ₹50-80. ROAS 4x+. Agar higher to creative/audience optimize. Track actual orders from leads.
47,"Ads, Paid Promotion & Local SEO",Carousel ads vs single image vs video – kab kya use?,"Carousel multiple products, video emotion, single simple offer.",Format match objective se karo.,"Carousel: Multiple flavours/hampers. Video/Reels: Storytelling, process, testimonials. Single: Clear offer + price. Test all. Reels ads ab strong perform karte hain."
48,"Ads, Paid Promotion & Local SEO",Ad account ban hone se bachne ke tips?,"Policy follow, gradual spend, authentic content, no restricted claims.",Ad account loss business hit karta hai.,Meta policies strict follow (no before-after health claims etc.). Spend gradually increase. Authentic cake photos. Landing page consistent. Multiple admins carefully. Backup creatives ready.
49,"Ads, Paid Promotion & Local SEO",Pixel setup aur events kaunse track karoge?,"PageView, ViewContent, Lead, Purchase, Contact.",Proper tracking optimization improve karta hai.,"Standard: PageView, ViewContent (menu), AddToCart if applicable, Lead (form/WhatsApp), Purchase. Custom: WhatsApp click. CAPI for better matching. Test events."
50,"Ads, Paid Promotion & Local SEO",Budget khatam hone se pehle scale kaise karoge successful campaign ko?,Horizontal (new audiences) + vertical (budget increase gradual).,Sudden scale performance bigaad sakta hai.,20-30% daily budget increase. New lookalikes/interests. New creatives. Expand geo thoda. Monitor frequency + CPA. Duplicate ad sets carefully.
51,"Analytics, Reporting & Optimization",Weekly report mein kaunse metrics include karoge owner ko?,"Reach, engagement rate, profile visits, website/WhatsApp clicks, estimated orders, top content.","Owner ko business impact dikhana hai, vanity nahi.","Simple dashboard: Followers growth, Engagement rate, Top 3 posts, Traffic to WhatsApp/site, Ad spend + results, Key learnings + next week plan. Visual (screenshots + charts). Hinglish summary."
52,"Analytics, Reporting & Optimization",Instagram Insights se kaunsi 5 cheezein regular check karoge?,"Audience active times, top content, reach sources, demographics, interactions.",Data-driven decisions ke liye regular check zaroori.,"1. When audience is online. 2. Content type performance (reels vs posts). 3. Reach (followers vs non). 4. Age/gender/location. 5. Profile activity (visits, follows, external taps). Monthly deep dive."
53,"Analytics, Reporting & Optimization",ROI kaise calculate karoge social media ka?,(Revenue attributed - Cost) / Cost * 100. Ya ROAS.,"Social ko cost center nahi, revenue driver dikhana hai.","Track: UTM + unique codes + WhatsApp source tags + promo codes. Approximate: Social se aaye orders ka value. Cost: Time + tools + ads. Target positive ROI. Qualitative: Brand awareness, reviews."
54,"Analytics, Reporting & Optimization",Agar reach drop ho jaye to diagnosis process kya hoga?,"Check algorithm changes, content quality, posting consistency, competition.","Reach drops common hain, panic mat karo.","1. Insights compare last 30 days. 2. Content mix change hua? 3. Posting frequency consistent? 4. External factors (festival, news). 5. Competitor activity. 6. Test new formats. 7. Engage more manually."
55,"Analytics, Reporting & Optimization",Competitor analysis kitni frequency se aur kaise karoge?,"Monthly deep, weekly light check.",Competitors se seekhna strategy improve karta hai.,"Tools: Manual + Socialblade/Phlanx free. Check: Posting frequency, content types, engagement rate, offers, hashtags, ad library (Meta). Gaps identify karo jo aap fill kar sakte ho. Copy mat karo, better version banao."
56,"Analytics, Reporting & Optimization",A/B testing organic content kaise karoge?,"Same idea different formats/timings/captions, measure engagement.",Organic bhi test hona chahiye.,Ek idea: Reel vs Carousel vs Static. Different posting times. Caption variations (question vs statement). Track 48-72 hours. Winner ko scale (similar content). Document results.
57,"Analytics, Reporting & Optimization",Tools kaunse use karoge analytics ke liye?,"Native Insights, Meta Business Suite, Google Analytics, free third-party.",Paid tools zaroori nahi shuru mein.,"Primary: Instagram/Facebook Insights, Meta Business Suite. GA4 if website. Free: Later, Buffer analytics, Google Data Studio simple dashboard. Advanced later: Sprout, Hootsuite."
58,"Analytics, Reporting & Optimization",Follower growth stagnant hai. Diagnosis aur action?,"Content audit, hashtag refresh, collab, consistency check.",Growth plateaus normal hain.,Audit last 20 posts performance. Hashtags update. Local collabs increase. Posting consistency fix. Bio optimize. Cross promotion. Run small awareness ads. Engage in local hashtags/groups.
59,"Analytics, Reporting & Optimization",Best time to post kaise decide karoge?,Insights audience online + test + local habits.,Generic times kaam nahi karte har audience pe.,"Insights → Audience → Most active times. Local: Evenings 7-10pm, weekends, lunch. Test different slots 2 weeks. Festival adjust. Stories alag timing."
60,"Analytics, Reporting & Optimization",Save rate aur share rate kyun important hain?,Algorithm signals – valuable content ko push karta hai.,Likes se zyada saves/shares value dikhate hain.,"High saves = useful content (recipes, guides). High shares = entertaining/relatable. Incentivize: 'Save for later', 'Share with friend who needs cake'. Track in Insights."
61,"Analytics, Reporting & Optimization",Monthly goals kaise set karoge SMART way mein?,"Specific, Measurable, Achievable, Relevant, Time-bound.",Vague goals fail hote hain.,Example: 'Next 30 days mein WhatsApp inquiries 20% badhao through social' ya 'Engagement rate 4% se 5.5%'. Base on past data. Break weekly. Review end of month.
62,"Analytics, Reporting & Optimization",Dark social (WhatsApp shares etc.) ko kaise track karoge approximately?,"Promo codes, unique links, surveys, branded hashtags.",Bahut traffic dark social se aata hai local businesses mein.,Unique discount codes per campaign. 'How did you hear' on WhatsApp. Branded hashtag monitoring. Estimate from spikes. Accept ki 100% track nahi hota.
63,"Analytics, Reporting & Optimization",Report mein failure ko kaise present karoge positively?,"What happened, why, what learned, what next.",Honesty + growth mindset impress karta hai.,Data dikhao. Hypothesis. Learning. Action plan. Example: 'Is week reels reach low raha because... Next week we will test X'.
64,"Analytics, Reporting & Optimization",Cross-platform analytics kaise compare karoge?,"Unified metrics: engagement rate, traffic, conversions.",Different platforms different strengths.,"IG: Visual engagement. FB: Older audience, groups. WhatsApp: Direct conversion. Compare cost per result. Allocate resources accordingly."
65,"Analytics, Reporting & Optimization",Predictive analysis simple level pe kaise karoge?,Past trends + seasonality + upcoming events.,Future planning ke liye.,Last year same festival performance. Current growth rate. Upcoming local events. Content pipeline. Budget forecast. Simple Excel trends.
66,"Crisis, Trends, Local & Operations",Koi viral negative video aaye cake ke against. First 1 hour mein kya karoge?,"Assess, pause, gather facts, draft response, escalate.",Speed + calm zaroori hai viral crisis mein.,"1. Screen record + notes. 2. All scheduled pause. 3. Internal team alert + facts verify. 4. Response draft (apology if valid, clarify if false). 5. Owner/legal approve. 6. Post official. 7. Monitor + engage constructively. 8. Offline resolve complainant."
67,"Crisis, Trends, Local & Operations",Trend jo cake se related nahi hai usko kaise use karoge safely?,"Creative adaptation, brand fit check, quick execution.",Trends reach dete hain lekin force fit mat karo.,Trend samjho. Brand voice mein adapt (example: dance trend pe cake cutting). Agar fit nahi to skip. Speed important – trends short lived. Test small.
68,"Crisis, Trends, Local & Operations",Local language (Marathi + Hindi) content kab aur kitna?,"Mix, festivals pe zyada, core Hinglish.",Local connect ke liye language important.,Captions primarily Hinglish. Key festivals pe Marathi lines. Stories mein local slang. Audience demographics dekh ke adjust. Force nahi.
69,"Crisis, Trends, Local & Operations",Bhiwandi/Thane specific local hooks kya use karoge?,"Local landmarks, festivals, weather, community pride.",Hyper-local content resonate karta hai.,"References: Local markets, rains, specific festivals celebrated strongly, 'Thane ke favourite', delivery areas mention. Collaborate local pages. Geo-targeted ads."
70,"Crisis, Trends, Local & Operations",Employee advocacy kaise promote karoge?,"Staff ko content mein feature, guidelines, incentives.",Staff authentic voice hota hai.,Chef/staff reels. Guidelines simple. Incentives for shares. Training basic phone photography. Pride build karo brand mein.
71,"Crisis, Trends, Local & Operations","Accessibility (alt text, captions) kyun aur kaise?","Inclusive + algorithm boost, easy tools.",Professionalism + reach.,"Alt text har image pe. Reels mein captions/subtitles (CapCut auto). High contrast. Simple language. Itna effort kam, impact zyada."
72,"Crisis, Trends, Local & Operations",Data privacy aur customer photos use karne ke rules?,"Permission always, credit, easy opt-out.",Legal + trust issue.,UGC use se pehle permission (story reply ya form). Credit always. Packaging pe consent note. Sensitive data mat maango. Policy clear.
73,"Crisis, Trends, Local & Operations","Multiple locations (Thane, Kalyan etc.) ke liye content kaise manage?","Central brand + local adaptations, location tags, geo content.",Chain ke liye consistency + local relevance.,Master content calendar. Local stories/highlights per outlet. Location specific offers. Geo tags. Separate location pages if needed ya unified with clear CTAs.
74,"Crisis, Trends, Local & Operations",Seasonal staff training social media ke liye?,"Basic guidelines, phone photography, what not to post.",Everyone brand ambassador.,Simple do's don'ts sheet. Approved hashtags. How to take good food photo. Escalate issues. Regular short sessions.
75,"Crisis, Trends, Local & Operations",Budget zero organic growth plan 90 days ka?,"Consistency, collabs, value, engagement, local SEO.",Paid ke bina bhi possible hai focused effort se.,Daily posting discipline. 10 local collabs. UGC push. Hashtag + community engagement. GMB optimization. Cross promotion. Track weekly growth.
76,"Crisis, Trends, Local & Operations",Agar owner bole 'sirf offers daalo' to kaise convince karoge value content ki?,"Data dikhao, competitor examples, long-term trust.",Education internal stakeholders ki bhi zaroori.,Past data: Value posts vs pure promo performance. Competitor successful accounts. Explain algorithm + customer psychology. Propose 70-30 mix. Test period suggest.
77,"Crisis, Trends, Local & Operations",New platform (e.g. YouTube Shorts ya new app) try karna chahiye?,"Audience research, resource check, test small.",Har nayi cheez pe jump mat karo.,Check: Target audience wahan hai? Resources (time/content)? Competitor presence? Small test 30 days. Measure. Scale or drop.
78,"Crisis, Trends, Local & Operations",Content batching ka process?,"Weekly shoot, batch edit, schedule.",Efficiency ke liye batching best.,1 day shoot multiple reels/photos. Edit batch. Caption write. Schedule Meta Suite/Later. Buffer for real-time. Festival alag plan.
79,"Crisis, Trends, Local & Operations",Burnout se kaise bachenge social media manager ke role mein?,"Boundaries, batching, tools, team help, offline time.","Role demanding hai, sustainability zaroori.",Fixed posting schedule. Batch content. Tools automation. Clear off hours (emergency only). Weekly review not daily panic. Hobbies.
80,"Crisis, Trends, Local & Operations",Success ke 3 main KPIs kya define karoge is role ke liye?,"Inquiry volume, engagement rate, content consistency.",Clear KPIs performance measure karte hain.,"1. Monthly social-sourced inquiries/orders. 2. Avg engagement rate. 3. Posting consistency + quality score. Secondary: Follower growth, reach. Align with business goals."
81,"Crisis, Trends, Local & Operations",Kaunse free/paid tools regularly use karoge?,"Canva, CapCut, Meta Business Suite, Later/Buffer, Google tools.",Tools efficiency badhate hain.,"Design: Canva Pro. Video: CapCut. Scheduling: Meta Business Suite + Later free. Analytics: Native + Sheets. Listening: Google Alerts, native mentions. WhatsApp Business. Link in bio: Linktree free."
82,"Crisis, Trends, Local & Operations",Canva se brand kit kaise banayenge?,"Templates, brand kit upload, team access.",Consistency easy banati hai.,"Brand Kit: Logo, colors, fonts. Templates: Post, story, reel cover, carousel. Team share. Regular update. Mobile app bhi use."
83,"Crisis, Trends, Local & Operations",CapCut mein advanced editing tips cake content ke liye?,"Auto captions, trending effects, speed ramps, text animations.",Editing quality retention badhati hai.,Auto captions + style. Trending audio sync. Zoom on cake details. Text pop-ups. Transitions smooth. Export high quality. Templates save.
